backend,policy,qi_qp_preseed,qi_qi_preseed,max_mode,use_ess,success,crashed,objective_final,qi_raw_total,qi_legacy_total,qi_legacy_source,qi_mirror_ratio_max,qi_mirror_ratio_target,qi_mirror_excess_max,qi_max_elongation,qi_elongation_target,qi_elongation_excess,qi_lgradb_min,qi_lgradb_threshold,qi_lgradb_excess_max,aspect_final,iota_final,nfev,njev,total_wall_time_s,jax_backend,jax_device_kind,input_file,input_nfp,project_input_boundary_to_max_mode,target_aspect,target_iota,iota_abs_min,iota_weight,qi_lgradb_weight,message,output_dir
cpu,continuation,True,True,1,False,True,False,0.06013829690280186,0.05947946851196767,0.05947946851196767,legacy,0.21783420941319614,0.21,0.007834209413196153,7.999702306588528,8.0,0.0,0.13547632418026712,0.3,4.048030207866551,4.993285834412667,-0.4252706698522275,61,42,140.6934483749792,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/qp_preseed/mode1/no_ess
cpu,continuation,True,True,1,True,True,False,0.06013829690280186,0.05947946851196767,0.05947946851196767,legacy,0.21783420941319614,0.21,0.007834209413196153,7.999702306588528,8.0,0.0,0.13547632418026712,0.3,4.048030207866551,4.993285834412667,-0.4252706698522275,61,42,142.0776802500477,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/qp_preseed/mode1/ess
cpu,continuation,True,False,2,False,True,False,0.009989397100251377,0.009484459760082713,0.009484459760082713,legacy,0.21702473492210098,0.21,0.007024734922100984,7.848978959368455,8.0,0.0,0.034580898968097025,0.3,25.584364871174323,5.003386492715304,-0.6107732592995679,124,54,301.33625829278026,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/qp_preseed/mode2/no_ess
cpu,continuation,True,True,2,True,True,False,0.6750689850105429,0.6448252270228265,0.6448252270228265,legacy,0.2645868480238294,0.21,0.05458684802382943,6.307692213427579,8.0,0.0,0.05120569601194967,0.3,16.19574405224959,4.978869022361759,-0.6623056346433305,79,53,220.95810383209027,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/qp_preseed/mode2/ess
cpu,continuation,True,False,3,False,True,False,0.01078799184717813,0.010779427106620214,0.010779427106620214,legacy,0.21088320744139064,0.21,0.0008832074413906432,6.714883146315845,8.0,0.0,0.018518115288020796,0.3,50.667842512401414,5.000874177735308,-0.6447742517214401,124,58,330.63641437597107,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/qp_preseed/mode3/no_ess
cpu,continuation,True,True,3,True,True,False,0.6750697300634706,0.6448248963352836,0.6448248963352836,legacy,0.26458790948871114,0.21,0.054587909488711145,6.3076948273521305,8.0,0.0,0.05120563528262715,0.3,16.195767213521442,4.978870989026627,-0.6623059886932176,85,56,293.59680970793124,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/qp_preseed/mode3/ess
cpu,continuation,False,True,1,False,True,False,1125.6949089766654,0.0012902553810744289,0.0012902553810744289,legacy,0.897205832603577,0.21,0.687205832603577,11.841461074710061,8.0,3.841461074710061,0.052361491378858496,0.3,15.764671205241756,6.0415194187973125,-0.25408992130295277,15,7,33.82859462394845,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/no_qp_preseed/mode1/no_ess
cpu,continuation,False,True,1,True,True,False,1125.6949089766654,0.0012902553810744289,0.0012902553810744289,legacy,0.897205832603577,0.21,0.687205832603577,11.841461074710061,8.0,3.841461074710061,0.052361491378858496,0.3,15.764671205241756,6.0415194187973125,-0.25408992130295277,15,7,34.303120125085115,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/no_qp_preseed/mode1/ess
cpu,continuation,False,True,2,False,True,False,33.41010245792093,0.005676158870862317,0.005676158870862317,legacy,0.36190007989221673,0.21,0.15190007989221674,4.357547343323285,8.0,0.0,0.01302050355874678,0.3,73.46861180558798,7.286574945869695,-0.38356835940900974,63,27,192.14903170696925,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/no_qp_preseed/mode2/no_ess
cpu,continuation,False,True,2,True,True,False,0.0036088403798414433,0.0035840136874432963,0.0035840136874432963,legacy,0.2115595697818763,0.21,0.0015595697818762966,4.639149962487633,8.0,0.0,0.027861810488318556,0.3,32.558088741311224,5.000710009402953,-0.5035173821025721,104,60,376.13941849884577,cpu,cpu,/Users/rogeriojorge/local/vmec_jax/examples/data/input.nfp2_QI,2,True,5.0,,0.41,200.0,0.0,`xtol` termination condition is satisfied.,/Users/rogeriojorge/local/vmec_jax/examples/optimization/results/qs_ess_sweep/cpu/continuation/qi/no_qp_preseed/mode2/ess
