scalar,scope,method,ad_slope,fd_slope,abs_error,rel_error,tolerance,passed,note
aspect ratio,fixed-boundary geometry,unrolled JAX AD,-0.4006868069824738,-0.4006868074224456,4.3997183674093776e-10,4.3997183674093776e-10,1e-09,True,equilibrium_aspect_ratio_from_state on a tiny stellarator-symmetric state
iota profile,fixed-boundary radial profile,JAX profile AD,0.015000000000000003,0.015000000000431333,4.313303186842532e-13,4.313303186842532e-13,1e-09,True,ProfilePolynomial iota-like radial profile
QS residual,fixed-boundary Boozer/VMEC diagnostic,JAX residual AD,1.5166507727606564e-05,1.5166507727896098e-05,2.8953449609635945e-16,2.8953449609635945e-16,1e-09,True,quasisymmetry_ratio_residual_from_wout
smooth QI residual,Boozer-space omnigenity diagnostic,smooth JAX AD,0.007996834273863374,0.007996834272723519,1.1398555710417924e-12,1.1398555710417924e-12,1e-09,True,quasi_isodynamic_residual_from_boozer_output
DMerc,finite-beta profile stability,JAX profile-integral AD,0.0037936558925581367,0.0037936558922035952,3.5454148297753285e-13,3.5454148297753285e-13,1e-09,True,mercier_terms_from_profile_integrals
D_R,finite-beta profile stability,JAX profile-integral AD,-0.004843688083496865,-0.004843688081179742,2.3171230559282385e-12,2.3171230559282385e-12,1e-09,True,mercier_terms_from_profile_integrals
free-boundary aspect,direct-coil free-boundary,branch-local replay JVP,1.9586073843982447e-12,3.108624468950438e-11,2.912763730510614e-11,2.912763730510614e-11,1e-09,True,same-branch/fingerprint-gated; not arbitrary adaptive branch differentiation
free-boundary qs_total,direct-coil free-boundary,branch-local replay JVP,5.116609501201561e-13,2.575717417130363e-10,2.5706008076291616e-10,2.5706008076291616e-10,1e-09,True,same-branch/fingerprint-gated; not arbitrary adaptive branch differentiation
free-boundary mean_iota,direct-coil free-boundary,branch-local replay JVP,-6.651328465928526e-13,-1.994931997373328e-12,1.3297991507804756e-12,1.3297991507804756e-12,1e-09,True,same-branch/fingerprint-gated; not arbitrary adaptive branch differentiation
free-boundary lcfs_boundary_moment,direct-coil free-boundary,branch-local replay JVP,-6.146139783255556e-14,2.0816681711721685e-13,2.6962821494977244e-13,2.6962821494977244e-13,1e-09,True,same-branch/fingerprint-gated; not arbitrary adaptive branch differentiation
