case_id,boundary,axisymmetric,lasym,vmec2000_runtime_s,vmec_jax_cold_runtime_s,vmec_jax_warm_runtime_s,vmec_jax_gpu_cold_runtime_s,vmec_jax_gpu_warm_runtime_s,vmecpp_runtime_s,vmec_jax_cold_speedup_vs_vmec2000,vmec_jax_warm_speedup_vs_vmec2000,vmec_jax_gpu_cold_speedup_vs_vmec2000,vmec_jax_gpu_warm_speedup_vs_vmec2000,vmec_jax_gpu_warm_speedup_vs_cpu_warm,vmecpp_speedup_vs_vmec2000,vmec2000_memory_bytes,vmec_jax_memory_bytes,vmec_jax_gpu_memory_bytes,vmecpp_memory_bytes,vmec_jax_cpu_execution_classification,vmec_jax_cpu_cold_execution_classification,vmec_jax_gpu_execution_classification,vmec_jax_gpu_cold_execution_classification,vmec_jax_cpu_scan_fallback_to_loop,vmec_jax_cpu_scan_fallback_reason,vmec_jax_gpu_scan_fallback_to_loop,vmec_jax_gpu_scan_fallback_reason,vmec_jax_cpu_scan_cache_miss_total_count,vmec_jax_cpu_scan_cache_miss_largest_category,vmec_jax_cpu_scan_cache_miss_categories,vmec_jax_cpu_cold_scan_cache_miss_total_count,vmec_jax_cpu_cold_scan_cache_miss_largest_category,vmec_jax_cpu_cold_scan_cache_miss_categories,vmec_jax_gpu_scan_cache_miss_total_count,vmec_jax_gpu_scan_cache_miss_largest_category,vmec_jax_gpu_scan_cache_miss_categories,vmec_jax_gpu_cold_scan_cache_miss_total_count,vmec_jax_gpu_cold_scan_cache_miss_largest_category,vmec_jax_gpu_cold_scan_cache_miss_categories
profile_splines,fixed,True,False,10.097837541718036,4.005594332702458,1.183163124602288,,,,2.5209336500397233,8.534611442621113,,,,,121310528,387010624,,,scan_cache_hit,scan_cold_compile,,,False,,,,,,,1,cold_empty,"{""cold_empty"":1}",,,,,,
LandremanPaul2021_QH_reactorScale_lowres,fixed,False,False,43.62249075016007,23.189594707917422,18.88454387523234,,,,1.8811234650541961,2.3099573406891922,,,,,120736896,478974400,,,scan_cache_hit,scan_cold_compile,,,False,,,,,,,1,cold_empty,"{""cold_empty"":1}",,,,,,
serial2500170_surface_points_mpol12_ntor12,fixed,False,False,46.70542591623962,24.908815000206232,20.27969116717577,,,,1.8750561163127561,2.303063963411628,,,,,121260992,480694528,,,scan_cache_hit,scan_cold_compile,,,False,,,,,,,1,cold_empty,"{""cold_empty"":1}",,,,,,
nfp3_QI_fixed_resolution_final,fixed,False,False,34.59395187534392,20.517646457999945,16.498587500303984,,,,1.6860584836647063,2.0967826412234705,,,,,121408512,476598592,,,scan_cache_hit,scan_cold_compile,,,False,,,,,,,1,cold_empty,"{""cold_empty"":1}",,,,,,
QI_stel_seed_3127,fixed,False,False,25.242135582957417,15.013868374750018,10.783865749835968,,,6.809710667002946,1.6812546209216184,2.340731623382957,,,,3.70678532720493,119114752,478171328,,75074048,scan_cache_hit,scan_cold_compile,,,False,,,,,,,1,cold_empty,"{""cold_empty"":1}",,,,,,
nfp4_QI_finite_beta,fixed,False,False,23.331519291736186,14.487739332951605,10.271435291972011,,,,1.6104320181044303,2.27149552409406,,,,,117541888,448565376,,,scan_cache_hit,scan_cold_compile,,,False,,,,,,,1,cold_empty,"{""cold_empty"":1}",,,,,,
nfp2_QA_finite_beta,fixed,False,False,12.935148833319545,8.83394291670993,4.438158541917801,,,,1.464255424251377,2.9145305899167036,,,,,120474944,448729216,,,scan_cache_hit,scan_cold_compile,,,False,,,,,,,1,cold_empty,"{""cold_empty"":1}",,,,,,
cth_like_fixed_bdy,fixed,True,False,4.689643833320588,3.3425288749858737,0.16847954178228974,,,,1.403022683937295,27.835093707582452,,,,,119704640,386420800,,,scan_cache_hit,scan_cold_compile,,,False,,,,,,,1,cold_empty,"{""cold_empty"":1}",,,,,,
nfp2_QI,fixed,False,False,19.26019175024703,14.313212582841516,10.329529792070389,,,,1.3456232581451273,1.8645758459433839,,,,,120441920,480350528,,,scan_cache_hit,scan_cold_compile,,,False,,,,,,,1,cold_empty,"{""cold_empty"":1}",,,,,,
up_down_asymmetric_tokamak,fixed,True,True,7.230339916888624,5.5941428751684725,2.000783124938607,,,,1.2924839565651738,3.613754947633559,,,,,121375808,416370816,,,scan_cache_hit,scan_cold_compile,,,False,,,,,,,1,cold_empty,"{""cold_empty"":1}",,,,,,
