s,normalized_lambda
0.000000000000000000e+00,-2.516506696171519342e-01
3.333333333333333287e-02,-3.584132261691551635e-01
6.666666666666666574e-02,-5.511691107992365835e-01
1.000000000000000056e-01,-6.881108929362381721e-01
1.333333333333333315e-01,-7.660564222546633051e-01
1.666666666666666574e-01,-8.071764735493275333e-01
2.000000000000000111e-01,-8.322917528766634598e-01
2.333333333333333370e-01,-8.556465886803084064e-01
2.666666666666666630e-01,-8.810163651525568795e-01
2.999999999999999889e-01,-9.059071932280282624e-01
3.333333333333333148e-01,-9.278561055348059083e-01
3.666666666666666408e-01,-9.465619136569287662e-01
4.000000000000000222e-01,-9.629371836513643812e-01
4.333333333333333481e-01,-9.774528553204605563e-01
4.666666666666666741e-01,-9.894378050701184701e-01
5.000000000000000000e-01,-9.974917997052783480e-01
5.333333333333333259e-01,-1.000000000000000000e+00
5.666666666666666519e-01,-9.952409388595193640e-01
5.999999999999999778e-01,-9.814400895728371266e-01
6.333333333333333037e-01,-9.568433239499667398e-01
6.666666666666666297e-01,-9.197468783332146680e-01
6.999999999999999556e-01,-8.685094435570107629e-01
7.333333333333332815e-01,-8.016023907783487168e-01
7.666666666666666075e-01,-7.176659750999176968e-01
8.000000000000000444e-01,-6.160650992067484566e-01
8.333333333333333703e-01,-4.992455562864513974e-01
8.666666666666666963e-01,-3.745286597309850918e-01
9.000000000000000222e-01,-2.522660936203287019e-01
9.333333333333333481e-01,-1.434572638575404291e-01
9.666666666666666741e-01,-5.033665726174086502e-02
1.000000000000000000e+00,-6.876940506003074299e-03
